Id,Name,Sex,ClassName,Month,Amount,LiveAtSchool
13012,张同学,女,高三(11)IB,201807,0,False
13012,张同学,女,高三(11)IB,201808,0,False
13012,张同学,女,高三(11)IB,201809,-63.6,False
13012,张同学,女,高三(11)IB,201810,-68.9,False
13012,张同学,女,高三(11)IB,201811,-106.6,False
13012,张同学,女,高三(11)IB,201812,-66.1,False
13012,张同学,女,高三(11)IB,201901,-75.9,False
13564,吴同学,男,高三(10),201807,-150.4,True
13564,吴同学,男,高三(10),201808,-201.8,True
13564,吴同学,男,高三(10),201809,-697.8,True
13564,吴同学,男,高三(10),201810,-594.5,True
13564,吴同学,男,高三(10),201811,-556.85,True
13564,吴同学,男,高三(10),201812,-664.05,True
13564,吴同学,男,高三(10),201901,-407.4,True
13599,曹同学,男,高三(06),201807,-105.8,False
13599,曹同学,男,高三(06),201808,-120,False
13599,曹同学,男,高三(06),201809,-389.1,False
13599,曹同学,男,高三(06),201810,-267.75,False
13599,曹同学,男,高三(06),201811,-290.1,False
13599,曹同学,男,高三(06),201812,-276.05,False
13599,曹同学,男,高三(06),201901,-238,False
13685,毛同学,男,高三(06),201807,-105.5,False
13685,毛同学,男,高三(06),201808,-136.1,False
13685,毛同学,男,高三(06),201809,-282.68,False
13685,毛同学,男,高三(06),201810,-330.5,False
13685,毛同学,男,高三(06),201811,-352.7,False
13685,毛同学,男,高三(06),201812,-419,False
13685,毛同学,男,高三(06),201901,-228.45,False
13947,李同学,女,高三(01),201807,-58.7,True
13947,李同学,女,高三(01),201808,-155.5,True
13947,李同学,女,高三(01),201809,-637.6,True
13947,李同学,女,高三(01),201810,-447.6,True
13947,李同学,女,高三(01),201811,-595.35,True
13947,李同学,女,高三(01),201812,-555.4,True
13947,李同学,女,高三(01),201901,-559.25,True
13948,俞同学,女,高三(02),201807,-124.6,True
13948,俞同学,女,高三(02),201808,-76.3,True
13948,俞同学,女,高三(02),201809,-420.8,True
13948,俞同学,女,高三(02),201810,-353.45,True
13948,俞同学,女,高三(02),201811,-340.1,True
13948,俞同学,女,高三(02),201812,-394.05,True
13948,俞同学,女,高三(02),201901,-261.85,True
13949,韩同学,男,高三(02),201807,-68.2,True
13949,韩同学,男,高三(02),201808,-200.2,True
13949,韩同学,男,高三(02),201809,-478,True
13949,韩同学,男,高三(02),201810,-391.9,True
13949,韩同学,男,高三(02),201811,-478.6,True
13949,韩同学,男,高三(02),201812,-440.75,True
13949,韩同学,男,高三(02),201901,-204.68,True
13950,潘同学,男,高三(01),201807,-137.7,True
13950,潘同学,男,高三(01),201808,-178,True
13950,潘同学,男,高三(01),201809,-719.8,True
13950,潘同学,男,高三(01),201810,-504.05,True
13950,潘同学,男,高三(01),201811,-570.4,True
13950,潘同学,男,高三(01),201812,-754.55,True
13950,潘同学,男,高三(01),201901,-466.05,True
13951,戴同学,女,高三(01),201807,-94.5,False
13951,戴同学,女,高三(01),201808,-82,False
13951,戴同学,女,高三(01),201809,-451.8,False
13951,戴同学,女,高三(01),201810,-354.2,False
13951,戴同学,女,高三(01),201811,-393.95,False
13951,戴同学,女,高三(01),201812,-471.5,False
13951,戴同学,女,高三(01),201901,-134.85,False
13952,王同学,男,高三(01),201807,-108.7,True
13952,王同学,男,高三(01),201808,0,True
